wavelength(AA)   flux(mJy)   unc(mJy)   resolution(km/s)
4360.000     0.6464   0.0613   277.0
4361.000     0.6069   0.0619   276.9
4362.000     0.6384   0.0624   276.8
4363.000     0.6380   0.0628   276.8
4364.000     0.6190   0.0631   276.7
4365.000     0.5917   0.0633   276.6
4366.000     0.5788   0.0633   276.6
4367.000     0.6082   0.0632   276.5
4368.000     0.6281   0.0629   276.4
4369.000     0.5360   0.0626   276.4
4370.000     0.5727   0.0622   276.3
4371.000     0.6779   0.0617   276.3
4372.000     0.5632   0.0613   276.2
4373.000     0.6174   0.0610   276.1
4374.000     0.5207   0.0607   276.1
4375.000     0.6819   0.0606   276.0
4376.000     0.6862   0.0604   275.9
4377.000     0.6192   0.0604   275.9
4378.000     0.6102   0.0603   275.8
4379.000     0.6286   0.0601   275.7
4380.000     0.5891   0.0597   275.7
4381.000     0.5502   0.0592   275.6
4382.000     0.6369   0.0586   275.6
4383.000     0.5378   0.0580   275.5
4384.000     0.5982   0.0574   275.4
4385.000     0.6430   0.0570   275.4
4386.000     0.5009   0.0569   275.3
4387.000     0.5617   0.0570   275.2
4388.000     0.5744   0.0574   275.2
4389.000     0.4541   0.0579   275.1
4390.000     0.5562   0.0585   275.0
4391.000     0.5959   0.0592   275.0
4392.000     0.5207   0.0598   274.9
4393.000     0.6642   0.0604   274.8
4394.000     0.7103   0.0609   274.8
4395.000     0.7037   0.0613   274.7
4396.000     0.7451   0.0617   274.7
4397.000     0.6010   0.0619   274.6
4398.000     0.6946   0.0621   274.5
4399.000     0.6423   0.0621   274.5
4400.000     0.5440   0.0621   274.4
4401.000     0.5605   0.0619   274.3
4402.000     0.5920   0.0617   274.3
4403.000     0.5050   0.0614   274.2
4404.000     0.6108   0.0612   274.1
4405.000     0.6128   0.0611   274.1
4406.000     0.7872   0.0611   274.0
4407.000     0.6310   0.0612   274.0
4408.000     0.7008   0.0615   273.9
4409.000     0.6544   0.0620   273.8
4410.000     0.5820   0.0625   273.8
4411.000     0.5690   0.0630   273.7
4412.000     0.5983   0.0635   273.6
4413.000     0.6170   0.0638   273.6
4414.000     0.7157   0.0641   273.5
4415.000     0.7230   0.0643   273.4
4416.000     0.6186   0.0644   273.4
4417.000     0.6289   0.0645   273.3
4418.000     0.5946   0.0646   273.2
4419.000     0.6357   0.0648   273.2
4420.000     0.6680   0.0650   273.1
4421.000     0.6159   0.0652   273.1
4422.000     0.6631   0.0654   273.0
4423.000     0.6133   0.0655   272.9
4424.000     0.7446   0.0656   272.9
4425.000     0.6713   0.0656   272.8
4426.000     0.6186   0.0656   272.7
4427.000     0.7490   0.0656   272.7
4428.000     0.5402   0.0655   272.6
4429.000     0.6455   0.0654   272.5
4430.000     0.7542   0.0653   272.5
4431.000     0.7326   0.0652   272.4
4432.000     0.7028   0.0650   272.4
4433.000     0.6471   0.0650   272.3
4434.000     0.7165   0.0649   272.2
4435.000     0.6979   0.0650   272.2
4436.000     0.7227   0.0651   272.1
4437.000     0.5863   0.0653   272.0
4438.000     0.7301   0.0656   272.0
4439.000     0.5980   0.0658   271.9
4440.000     0.5753   0.0661   271.8
4441.000     0.6616   0.0662   271.8
4442.000     0.6586   0.0663   271.7
4443.000     0.7501   0.0664   271.6
4444.000     0.6511   0.0665   271.6
4445.000     0.6886   0.0667   271.5
4446.000     0.6006   0.0669   271.5
4447.000     0.5875   0.0671   271.4
4448.000     0.6482   0.0673   271.3
4449.000     0.7136   0.0674   271.3
4450.000     0.8502   0.0674   271.2
4451.000     0.6005   0.0672   271.1
4452.000     0.7908   0.0669   271.1
4453.000     0.6450   0.0664   271.0
4454.000     0.7529   0.0659   270.9
4455.000     0.5558   0.0653   270.9
4456.000     0.6645   0.0647   270.8
4457.000     0.6530   0.0643   270.8
4458.000     0.6103   0.0639   270.7
4459.000     0.6196   0.0637   270.6
4460.000     0.6367   0.0637   270.6
4461.000     0.6461   0.0638   270.5
4462.000     0.5180   0.0640   270.4
4463.000     0.5621   0.0644   270.4
4464.000     0.5900   0.0648   270.3
4465.000     0.4706   0.0652   270.2
4466.000     0.5657   0.0657   270.2
4467.000     0.7107   0.0661   270.1
4468.000     0.6866   0.0666   270.0
4469.000     0.6081   0.0671   270.0
4470.000     0.7399   0.0676   269.9
4471.000     0.6816   0.0682   269.9
4472.000     0.6235   0.0689   269.8
4473.000     0.7388   0.0695   269.7
4474.000     0.7955   0.0702   269.7
4475.000     0.6818   0.0707   269.6
4476.000     0.7634   0.0711   269.5
4477.000     0.7340   0.0713   269.5
4478.000     0.7366   0.0713   269.4
4479.000     0.6223   0.0712   269.3
4480.000     0.6123   0.0710   269.3
4481.000     0.6280   0.0707   269.2
4482.000     0.7276   0.0706   269.2
4483.000     0.6997   0.0705   269.1
4484.000     0.6914   0.0705   269.0
4485.000     0.7971   0.0706   269.0
4486.000     0.8158   0.0707   268.9
4487.000     0.5742   0.0708   268.8
4488.000     0.5566   0.0709   268.8
4489.000     0.6759   0.0709   268.7
4490.000     0.7396   0.0708   268.6
4491.000     0.7484   0.0707   268.6
4492.000     0.6872   0.0706   268.5
4493.000     0.5550   0.0706   268.4
4494.000     0.8394   0.0706   268.4
4495.000     0.6575   0.0707   268.3
4496.000     0.7342   0.0709   268.3
4497.000     0.7134   0.0712   268.2
4498.000     0.6922   0.0716   268.1
4499.000     0.8018   0.0721   268.1
4500.000     0.8191   0.0727   268.0
4501.000     0.6324   0.0733   267.9
4502.000     0.5483   0.0740   267.9
4503.000     0.6965   0.0746   267.8
4504.000     0.7776   0.0752   267.7
4505.000     0.7779   0.0757   267.7
4506.000     0.7881   0.0761   267.6
4507.000     0.8502   0.0764   267.6
4508.000     0.8435   0.0765   267.5
4509.000     0.7314   0.0765   267.4
4510.000     0.6578   0.0764   267.4
4511.000     0.7038   0.0762   267.3
4512.000     0.8504   0.0760   267.2
4513.000     0.7024   0.0756   267.2
4514.000     0.8391   0.0753   267.1
4515.000     0.8006   0.0750   267.0
4516.000     0.9089   0.0746   267.0
4517.000     0.7428   0.0744   266.9
4518.000     0.5679   0.0741   266.8
4519.000     0.8880   0.0739   266.8
4520.000     0.7387   0.0736   266.7
4521.000     0.7241   0.0733   266.7
4522.000     0.8345   0.0729   266.6
4523.000     0.6994   0.0725   266.5
4524.000     0.6418   0.0719   266.5
4525.000     0.6872   0.0712   266.4
4526.000     0.7464   0.0705   266.3
4527.000     0.6710   0.0698   266.3
4528.000     0.8187   0.0692   266.2
4529.000     0.6202   0.0687   266.1
4530.000     0.6301   0.0684   266.1
4531.000     0.5876   0.0682   266.0
4532.000     0.8130   0.0682   266.0
4533.000     0.8028   0.0684   265.9
4534.000     0.6668   0.0688   265.8
4535.000     0.6311   0.0693   265.8
4536.000     0.5738   0.0699   265.7
4537.000     0.8089   0.0706   265.6
4538.000     0.7583   0.0713   265.6
4539.000     0.7669   0.0720   265.5
4540.000     0.6985   0.0726   265.4
4541.000     0.8193   0.0731   265.4
4542.000     0.7351   0.0733   265.3
4543.000     0.6461   0.0734   265.2
4544.000     0.6669   0.0734   265.2
4545.000     0.7521   0.0733   265.1
4546.000     0.6295   0.0730   265.1
4547.000     0.7661   0.0728   265.0
4548.000     0.6553   0.0725   264.9
4549.000     0.6871   0.0722   264.9
4550.000     0.6807   0.0720   264.8
4551.000     0.6944   0.0719   264.7
4552.000     0.7556   0.0718   264.7
4553.000     0.6225   0.0719   264.6
4554.000     0.6719   0.0721   264.5
4555.000     0.6228   0.0725   264.5
4556.000     0.6905   0.0729   264.4
4557.000     0.6592   0.0734   264.4
4558.000     0.7498   0.0740   264.3
4559.000     0.7787   0.0746   264.2
4560.000     0.8956   0.0750   264.2
4561.000     0.7169   0.0754   264.1
4562.000     0.8576   0.0756   264.0
4563.000     0.7151   0.0758   264.0
4564.000     0.7056   0.0758   263.9
4565.000     0.8054   0.0758   263.8
4566.000     0.8353   0.0758   263.8
4567.000     0.8416   0.0759   263.7
4568.000     0.7984   0.0760   263.6
4569.000     0.7716   0.0761   263.6
4570.000     0.8966   0.0762   263.5
4571.000     0.7253   0.0763   263.5
4572.000     0.6977   0.0764   263.4
4573.000     0.7151   0.0765   263.3
4574.000     0.6650   0.0765   263.3
4575.000     0.7122   0.0765   263.2
4576.000     0.8857   0.0764   263.1
4577.000     0.6375   0.0762   263.1
4578.000     0.8931   0.0760   263.0
4579.000     0.6381   0.0757   262.9
4580.000     0.8334   0.0753   262.9
4581.000     0.5427   0.0749   262.8
4582.000     0.8770   0.0746   262.8
4583.000     0.6922   0.0744   262.7
4584.000     0.7581   0.0744   262.6
4585.000     0.7382   0.0745   262.6
4586.000     0.7204   0.0747   262.5
4587.000     0.8651   0.0749   262.4
4588.000     0.8327   0.0752   262.4
4589.000     0.7503   0.0755   262.3
4590.000     0.7928   0.0757   262.2
4591.000     0.8305   0.0758   262.2
4592.000     0.7357   0.0759   262.1
4593.000     0.8243   0.0759   262.0
4594.000     0.8391   0.0758   262.0
4595.000     0.7124   0.0758   261.9
4596.000     0.6696   0.0758   261.9
4597.000     0.7831   0.0757   261.8
4598.000     0.6898   0.0758   261.7
4599.000     0.7913   0.0758   261.7
4600.000     0.7382   0.0760   261.6
4601.000     0.8382   0.0761   261.5
4602.000     0.8329   0.0763   261.5
4603.000     0.9278   0.0766   261.4
4604.000     0.8659   0.0769   261.3
4605.000     0.8141   0.0773   261.3
4606.000     0.7293   0.0777   261.2
4607.000     0.7018   0.0782   261.2
4608.000     0.8281   0.0786   261.1
4609.000     0.8954   0.0790   261.0
4610.000     0.8650   0.0794   261.0
4611.000     0.7861   0.0796   260.9
4612.000     0.7537   0.0798   260.8
4613.000     0.8924   0.0799   260.8
4614.000     0.8202   0.0799   260.7
4615.000     0.6563   0.0799   260.6
4616.000     0.9232   0.0799   260.6
4617.000     0.6213   0.0799   260.5
